ranks,titles,index,gross,theaters,per_theater,total_gross
1,I Still Believe,79,"$37,812",126,$300,"$9,906,333"
2,Saint Frances,79,"$24,480",25(v),$979,"$60,355"
3,"Phoenix, Oregon",79,"$5,155",17(v),$303,"$23,511"
4,Be Natural: The Untold Story Of Alice Guy-Blaché,79,$198,1,$198,"$115,492"
5,Lost in America,79,$102,1,$102,"$11,301"
1,Saint Frances,86,"$22,771",89(v),$256,"$83,126"
2,I Still Believe,86,"$17,942",18,$997,"$9,924,275"
3,Strike,86,"$2,802",2,"$1,401","$2,802"
4,"Phoenix, Oregon",86,"$2,256",25(v),$90,"$25,767"
1,Saint Frances,93,"$18,129",107(v),$169,"$101,255"
2,I Still Believe,93,"$4,459",6,$743,"$9,928,734"
3,"Phoenix, Oregon",93,"$3,855",27(v),$143,"$29,622"
4,The Other Lamb,93,"$2,070",1,"$2,070","$2,070"
5,Best of Catvideofest,93,"$1,026",37(v),$28,"$1,026"
1,Best of Catvideofest,100,"$20,541",118(v),$174,"$21,567"
2,Saint Frances,100,"$15,397",126(v),$122,"$116,652"
3,"Monero Means Money: Cryptocurrency 101, Live fr…",100,"$3,500",247(v),$14,"$3,500"
4,Swallow,100,"$2,787",1,"$2,787","$29,156"
5,The Other Lamb,100,"$2,490",1,"$2,490","$4,560"
1,Other Music,107,"$37,191",214(v),$174,"$37,191"
2,Best of Catvideofest,107,"$12,720",138(v),$92,"$34,287"
3,I Still Believe,107,"$11,204",4,"$2,801","$9,942,768"
4,Saint Frances,107,"$10,623",100(v),$106,"$127,275"
6,Resistance,107,"$4,263",1,"$4,263","$4,263"
5,Swallow,107,"$4,263",1,"$4,263","$33,419"
7,"Monero Means Money: Cryptocurrency 101, Live fr…",107,$330,5,$66,"$3,830"
1,I Still Believe,114,"$15,448",3,"$5,149","$9,958,216"
2,True History Of The Kelly Gang,114,"$15,030",5,"$3,006","$15,030"
3,Resistance,114,"$3,201",1,"$3,201","$7,464"
1,The Wretched,121,"$95,686",12,"$7,974","$95,686"
2,I Still Believe,121,"$52,382",22,"$2,381","$10,010,598"
3,Disappearance at Clifton Hill,121,"$18,466",2,"$9,233","$21,915"
4,True History Of The Kelly Gang,121,"$16,010",2,"$8,005","$31,040"
5,The Other Lamb,121,"$1,199",1,"$1,199","$6,024"
1,The Wretched,128,"$116,271",19,"$6,120","$211,957"
2,I Still Believe,128,"$51,595",31,"$1,664","$10,062,193"
3,How to Build a Girl,128,"$19,802",6,"$3,300","$19,802"
4,Disappearance at Clifton Hill,128,"$3,169",1,"$3,169","$25,084"
5,True History Of The Kelly Gang,128,"$1,909",1,"$1,909","$32,949"
6,The Burnt Orange Heresy,128,$145,1,$145,"$39,733"
1,The Wretched,135,"$150,652",21,"$7,174","$362,609"
2,I Still Believe,135,"$62,577",57,"$1,098","$10,124,770"
3,How to Build a Girl,135,"$47,708",9,"$5,301","$67,510"
4,Circles: The Restorative Justice Project,135,"$5,763",3,"$1,921","$5,763"
5,Strike,135,"$5,226",2,"$2,613","$5,226"
6,The Burnt Orange Heresy,135,$100,1,$100,"$39,833"
1,The Wretched,142,"$297,319",59,"$5,039","$659,928"
2,I Still Believe,142,"$40,501",84,$482,"$10,165,271"
3,Strike,142,"$3,805",2,"$1,903","$9,031"
4,Circles: The Restorative Justice Project,142,"$2,674",2,"$1,337","$8,437"
5,The Trip to Greece,142,"$1,365",3,$455,"$1,365"
6,How to Build a Girl,142,"$1,347",3,$449,"$68,857"
7,True History Of The Kelly Gang,142,$324,2,$162,"$33,343"
8,The Burnt Orange Heresy,142,$60,1,$60,"$39,893"
-,The Wretched,149,"$253,717",75,"$3,383","$913,645"
-,I Still Believe,149,"$30,844",97,$318,"$10,196,115"
-,Strike,149,"$1,802",1,"$1,802","$10,833"
-,Circles: The Restorative Justice Project,149,"$1,284",1,"$1,284","$9,721"
-,Max Winslow and the House of Secrets,149,"$1,129",4,$282,"$1,129"
-,The Trip to Greece,149,$594,3,$198,"$1,959"
-,How to Build a Girl,149,$298,3,$99,"$69,155"
-,True History Of The Kelly Gang,149,$53,1,$53,"$33,434"
-,The Wretched,156,"$310,035",99,"$3,132","$1,223,680"
-,Becky,156,"$294,432",45,"$6,543","$294,432"
