Date,Rank,Movie Title,Weekly Gross,Cumulative Gross,Genre,Original Language,Director,Release Date,Total Gross,Runtime,Distributor,Prod Co.
2020/6/26,-,The Last Tree,"$4,071","$4,071",Drama,English (United Kingdom),Shola Amoo,"Jun 26, 2020",,1h 40m,ArtMattan Films,"Prodigal Film & TV, British Film Institute, Privateer Pictures"
2020/6/26,-,The Trip to Greece,"$1,676","$8,340","Comedy, Drama",English,Michael Winterbottom,"May 22, 2020",$7.7K,1h 52m,IFC Films,Revolution Films
2020/6/26,-,Babyteeth,$724,"$4,507","Comedy, Drama",English (Australia),Shannon Murphy,,$4.3K,1h 57m,,"Screen Australia, Whitefalk Films, Create NSW"
2020/6/26,-,The Transcendents,$564,$564,"Mystery & thriller, Music",English,Derek Ahonen,,$2.0K,1h 36m,,
2020/7/3,-,Relic,"$345,396","$345,396","Horror, Drama",English,Natalie Erika James,"Jul 10, 2020",$1.0M,1h 29m,IFC Midnight,"Nine Stories Productions, AGBO, Film Victoria, Carver Films, Screen Australia"
2020/7/3,-,The Outpost,"$43,965","$43,965",Drama,Romanian,Peter Gothar,,,1h 24m,,
2020/7/3,-,Followed,"$42,736","$442,265",Horror,English,Antoine Le,"Jun 19, 2020",$538.1K,1h 37m,Global View Entertainment,"Branded Pictures Entertainment, Viscape Arts"
2020/7/3,-,Becky,"$42,689","$915,178","Romance, Comedy",,John P. McCarthy,"Nov 12, 1927",,58m,Metro-Goldwyn-Mayer,
2020/7/3,-,The Wretched,"$40,590","$1,700,229",Drama,Hindi,Shlok Sharma,,,2h 18m,,
2020/7/3,-,Max Winslow and the House of Secrets,"$10,982","$31,252","Fantasy, Mystery & thriller",English,Sean Olson,,,1h 38m,,"Skipstone Pictures, Standing Room Only Cinema"
2020/7/3,-,I Still Believe,"$10,116","$10,328,437","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",$9.1M,1h 55m,Lionsgate Films,Kevin Downes
2020/7/3,-,The Gentlemen,"$4,518","$36,315,210","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",$36.5M,1h 53m,STX Films,Toff Guy
2020/7/3,-,Infamous,"$4,203","$429,148","Drama, Lgbtq+",English,Douglas McGrath,"Oct 13, 2006",$1.2M,1h 58m,Warner Independent,Jack & Henry Prods./Killer Films
2020/7/3,-,The Last Tree,"$3,584","$7,655",Drama,English (United Kingdom),Shola Amoo,"Jun 26, 2020",,1h 40m,ArtMattan Films,"Prodigal Film & TV, British Film Institute, Privateer Pictures"
2020/7/3,-,The Truth,"$2,777","$2,777",Mystery & thriller,English,Ryan Barton-Grimley,,,1h 36m,,RBG Films
2020/7/3,-,Sex and the Future,$811,"$3,101",Comedy,English,"Luis Carlos Hueck, Ethan Zvi Kaplan","Jun 5, 2020",$5.7K,1h 20m,Indican Pictures,Don Kap Productions
2020/7/3,-,StarDog and TurboCat,$75,"$80,398","Kids & family, Comedy, Adventure, Animation",English (United Kingdom),Ben Smith,"Jun 19, 2020",,1h 31m,Viva Kids,"Brilliant Casting, Red Star 3D, Kaleidoscope Entertainment, Metrol Technology, Screen Yorkshire, Head Gear Films, Particular Crowd"
2020/7/10,-,Relic,"$302,672","$648,068","Horror, Drama",English,Natalie Erika James,"Jul 10, 2020",$1.0M,1h 29m,IFC Midnight,"Nine Stories Productions, AGBO, Film Victoria, Carver Films, Screen Australia"
2020/7/10,-,Archive,"$79,869","$79,869",Sci-fi,English (United Kingdom),Gavin Rothery,"Jul 10, 2020",$118.7K,1h 45m,Vertical Entertainment,"Metrol Technology, Independent, Head Gear Films, Hero Squared, Untapped"
2020/7/10,-,Followed,"$43,801","$486,066",Horror,English,Antoine Le,"Jun 19, 2020",$538.1K,1h 37m,Global View Entertainment,"Branded Pictures Entertainment, Viscape Arts"
2020/7/10,-,The Outpost,"$32,674","$76,639",Drama,Romanian,Peter Gothar,,,1h 24m,,
2020/7/10,-,The Wretched,"$21,584","$1,721,813",Drama,Hindi,Shlok Sharma,,,2h 18m,,
2020/7/10,-,I Still Believe,"$9,632","$10,338,069","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",$9.1M,1h 55m,Lionsgate Films,Kevin Downes
2020/7/10,-,The Gentlemen,"$7,040","$36,322,250","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",$36.5M,1h 53m,STX Films,Toff Guy
2020/7/10,-,The Truth,"$2,496","$5,273",Mystery & thriller,English,Ryan Barton-Grimley,,,1h 36m,,RBG Films
2020/7/10,-,Guest Artist,"$1,786","$1,786",Drama,English,Timothy Busfield,,$7.0K,1h 14m,,Grand River Productions
2020/7/10,-,The Last Tree,"$1,692","$9,347",Drama,English (United Kingdom),Shola Amoo,"Jun 26, 2020",,1h 40m,ArtMattan Films,"Prodigal Film & TV, British Film Institute, Privateer Pictures"
2020/7/10,-,The Fox Hunter,$526,"$1,577",Comedy,English,Patrick Shanahan,"Jun 5, 2020",$1.5K,1h 27m,Indican Pictures,Denim Buffalo Films
