date,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2021-11-06,,,,,,,,,2021 폴킴 전국투어 콘서트-서울_기획공연,2021 폴킴 전국투어 콘서트-서울_기획공연,,,,,,,,,,,
2021-12-11,,,,,,,,,,,,,,"2021 WOODZ 단독 콘서트, 쇼미더머니10페스티벌, (가제) 2021 윤하 연말 단독 콘서트","2021 WOODZ 단독 콘서트, 쇼미더머니10페스티벌, (가제) 2021 윤하 연말 단독 콘서트",,,,,,
2021-12-12,,,,,,,,,,,,,"2021 WOODZ 단독 콘서트, 쇼미더머니10페스티벌, (가제) 2021 윤하 연말 단독 콘서트",,,,,,,,
2021-12-17,,,,,,,,,,,,,,,,"2021 에픽하이 콘서트, 2021 나훈아 송년콘서트(가제), 2021 정승환 연말 콘서트",,,,,
2021-12-18,,,,,,,,,,"2021 에픽하이 콘서트, 2021 나훈아 송년콘서트(가제), 2021 정승환 연말 콘서트","2021 에픽하이 콘서트, 2021 나훈아 송년콘서트(가제), 2021 정승환 연말 콘서트",,,,"2021 에픽하이 콘서트, 2021 나훈아 송년콘서트(가제), 2021 정승환 연말 콘서트",,,,"2021 에픽하이 콘서트, 2021 나훈아 송년콘서트(가제), 2021 정승환 연말 콘서트",,
2022-04-09,,,,,,,,,"아스트로 아로하 팬미팅, YG 트레저 콘서트, 2022 Theatre 이문세 서울","아스트로 아로하 팬미팅, YG 트레저 콘서트, 2022 Theatre 이문세 서울","아스트로 아로하 팬미팅, YG 트레저 콘서트, 2022 Theatre 이문세 서울","아스트로 아로하 팬미팅, YG 트레저 콘서트, 2022 Theatre 이문세 서울","아스트로 아로하 팬미팅, YG 트레저 콘서트, 2022 Theatre 이문세 서울","아스트로 아로하 팬미팅, YG 트레저 콘서트, 2022 Theatre 이문세 서울",,,,,,,
2022-05-01,,,,,,,,,,,"2022 몬스타엑스 콘서트, WONDERLAND FESTIVAL 2022, 2022 WINNER CONCERT (가제)","2022 몬스타엑스 콘서트, WONDERLAND FESTIVAL 2022, 2022 WINNER CONCERT (가제)",,,,,,,,,
2022-05-14,,,,,,,,,,"(가제) 2022 볼빨간사춘기 상반기 단독 콘서트, 뷰티풀 민트 라이프 2022","(가제) 2022 볼빨간사춘기 상반기 단독 콘서트, 뷰티풀 민트 라이프 2022",,,,,,,,,,
2022-05-27,,,,,,,,제15회 서울재즈페스티벌(Seoul Jazz Festival) 2022,,,,,,,,,,,,,
2022-06-11,,,,,,,,"2022 우주소녀 콘서트, 2022 아시아펜싱선수권대회",,,,,,,,,,,,,
2022-09-03,,,,,,,,,,,,,"JTBC <뉴페스타> FESTIVAL, 2022 몬스타엑스 콘서트, 2022 이승환 당신이 원하는 바로 그 콘서트 앵콜공연, 소녀시대 팬미팅",,,,,,,,
2022-09-17,,,,,,,"Listen Again Music Festival (JTBC 11th anniversary Festival), 2022 ENHYPEN 단독 콘서트, 2022 제6회 대한민국 청년의 날, 2022 제11회 심장병 예방 한걸음 더 걷기대회, 2022 Stray Kids 단독콘서트 (가제)","Listen Again Music Festival (JTBC 11th anniversary Festival), 2022 ENHYPEN 단독 콘서트, 2022 제6회 대한민국 청년의 날, 2022 제11회 심장병 예방 한걸음 더 걷기대회, 2022 Stray Kids 단독콘서트 (가제)","Listen Again Music Festival (JTBC 11th anniversary Festival), 2022 ENHYPEN 단독 콘서트, 2022 제6회 대한민국 청년의 날, 2022 제11회 심장병 예방 한걸음 더 걷기대회, 2022 Stray Kids 단독콘서트 (가제)","Listen Again Music Festival (JTBC 11th anniversary Festival), 2022 ENHYPEN 단독 콘서트, 2022 제6회 대한민국 청년의 날, 2022 제11회 심장병 예방 한걸음 더 걷기대회, 2022 Stray Kids 단독콘서트 (가제)","Listen Again Music Festival (JTBC 11th anniversary Festival), 2022 ENHYPEN 단독 콘서트, 2022 제6회 대한민국 청년의 날, 2022 제11회 심장병 예방 한걸음 더 걷기대회, 2022 Stray Kids 단독콘서트 (가제)","Listen Again Music Festival (JTBC 11th anniversary Festival), 2022 ENHYPEN 단독 콘서트, 2022 제6회 대한민국 청년의 날, 2022 제11회 심장병 예방 한걸음 더 걷기대회, 2022 Stray Kids 단독콘서트 (가제)","Listen Again Music Festival (JTBC 11th anniversary Festival), 2022 ENHYPEN 단독 콘서트, 2022 제6회 대한민국 청년의 날, 2022 제11회 심장병 예방 한걸음 더 걷기대회, 2022 Stray Kids 단독콘서트 (가제)","Listen Again Music Festival (JTBC 11th anniversary Festival), 2022 ENHYPEN 단독 콘서트, 2022 제6회 대한민국 청년의 날, 2022 제11회 심장병 예방 한걸음 더 걷기대회, 2022 Stray Kids 단독콘서트 (가제)",,,,,,,
2022-10-01,,,,,,,,,,,,,"2022 김호중 콘서트 아리스트라, 이문세의 숲속음악회, GREAT Seoul INVASION 투어-서울","2022 김호중 콘서트 아리스트라, 이문세의 숲속음악회, GREAT Seoul INVASION 투어-서울","2022 김호중 콘서트 아리스트라, 이문세의 숲속음악회, GREAT Seoul INVASION 투어-서울",,,,,,
2022-10-10,,,,,,,,,2022 케플러 첫번째 팬미팅,,,,,,,,,,,,
2022-12-10,,,,,,,,,,,,,,,"(가제) 2022 자우림 연말 단독 콘서트, 2022 지오디(g.o.d) 단독 콘서트, 2022 멜로망스 연말콘서트",,,,,,
2022-12-11,,,,,,,,,,,,,,"(가제) 2022 자우림 연말 단독 콘서트, 2022 지오디(g.o.d) 단독 콘서트, 2022 멜로망스 연말콘서트",,,,,,,
2022-12-16,,"2022 십센치 단독 콘서트, 2022 엑스디너리히어로즈 콘서트",,,,,,,,,,,,,,,,,,,
2022-12-22,,,,,,,,,,,,,,,,,,"2022 박진영 단독공연 'GROOVE BACK', 싸이 올나잇스탠드 2022","2022 박진영 단독공연 'GROOVE BACK', 싸이 올나잇스탠드 2022","2022 박진영 단독공연 'GROOVE BACK', 싸이 올나잇스탠드 2022","2022 박진영 단독공연 'GROOVE BACK', 싸이 올나잇스탠드 2022"
2022-12-23,,,,,,,,,,,,,,,,,,,,,"2022 박진영 단독공연 'GROOVE BACK', 싸이 올나잇스탠드 2022, 크러쉬 콘서트 2022"
2022-12-31,,"2022 정승환 연말콘서트 안녕, 겨울",,,,,,,,,,,,,,,,,,,
2023-01-01,,,,"2022 BTOB 비투비 10주년 콘서트, 2022 잔나비 콘서트 앵콜",,,,,,,,,,,,,,,,,
2023-01-14,,,,,,,,,,2023 DKZ FAN-CON,,,,,,,,,,,
2023-01-28,,,,,,,,,,,,,,,,"2023 잔나비 전국투어 콘서트, 2022 크러쉬 앵콜 콘서트, 2023 (여자)아이들 팬미팅",,,,,
2023-03-19,,,,,2023 서울마라톤 겸 동아마라톤,2023 서울마라톤 겸 동아마라톤,,,,,,,,,,,,,,,
2023-03-20,,,,,,,,,,,,,,,해리 스타일스 내한공연 (HARRY STYLES LIVE IN SEOUL),해리 스타일스 내한공연 (HARRY STYLES LIVE IN SEOUL),해리 스타일스 내한공연 (HARRY STYLES LIVE IN SEOUL),,,,
